gi	species	kingdom	phylum	class	order	family	genus	
KF562399.1	Chilodus punctatus	Metazoa	Chordata	Actinopteri	Characiformes	Chilodontidae	Chilodus
KF148473.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
KF148082.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
KF148251.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
JX669246.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
KF148344.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
KF148589.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
KF148322.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
KC684536.1	Pipistrellus kuhlii	Metazoa	Chordata	Mammalia	Chiroptera	Vespertilionidae	Pipistrellus
KF148397.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
KF148171.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
KF148326.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
JX669164.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
KF148259.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
KF148347.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
KF537571.1	Pseudobrama simoni	Metazoa	Chordata	Actinopteri	Cypriniformes	Cyprinidae	Pseudobrama
JX669207.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
KF570360.1	Tursiops aduncus	Metazoa	Chordata	Mammalia	Cetacea	Delphinidae	Tursiops
KF148379.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
JX669312.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
KF562396.1	Chilodus punctatus	Metazoa	Chordata	Actinopteri	Characiformes	Chilodontidae	Chilodus
JX669368.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
